Python,Cython
0.00138, 0.00017
0.00139, 0.00017
0.00138, 0.00017
0.00147, 0.00017
0.00145, 0.00017
0.00227, 0.00017
0.00144, 0.00017
0.00138, 0.00017
0.00138, 0.00017
0.00137, 0.00017
0.00138, 0.00016
0.00138, 0.00017
0.00139, 0.00016
0.00084, 0.00010
0.00067, 0.00010
0.00067, 0.00010
0.00068, 0.00010
0.00067, 0.00010
0.00067, 0.00010
0.00067, 0.00010
0.00067, 0.00010
0.00068, 0.00010
0.00067, 0.00010
0.00067, 0.00010
0.00067, 0.00010
0.00067, 0.00010
0.00067, 0.00012
0.00067, 0.00010
0.00067, 0.00010
0.00067, 0.00010
